No.,Institution,Contract,Supplier,Date,Amount
26,АД Електрани на Македонија - Скопје,ЈН 157/2012 Ангажирање на градежна механизација за потребите на подружница РЕК Битола.,1. СТЕНТОН ГРАДБА БИТОЛА; 2. ТРАНС МЕТ; 3. ФОРСА АС; 4. КАЈМАКЧАЛАН БИТОЛА; 5. НАШ ДОМ КИЧЕВО; 6. МИС КОМЕРЦ ДООЕЛ; 7. МАРКОВСКИ КОМПАНИ БИТОЛА; 8. ПЕЛИСТЕР Битола; 9. РУД КОП ДООЕЛ; 10. ТД ТОРПЕДО МОБИЛ БИТОЛА; 11. МИРСАТ КОМЕРЦ КИЧЕВО; 12. СТРЕЖЕВО ДООЕЛ; 13. ИНСТАЛАЦИЈА КИЧЕВО; 14. ДИГЕР ДООЕЛ; 15. МЕТАЛНА ТАЈМИШТЕ,11.09.2012,150000000
27,АД Електрани на Македонија - Скопје,ЈН 34/2012 Ангажирање на градежна механизација за потребите на подружниците РЕК Осломеј и РЕК Битола,1. ФОРСА АС; 2. МИС КОМЕРЦ ДООЕЛ; 3. ТД ТОРПЕДО МОБИЛ БИТОЛА; 4. КАЈМАКЧАЛАН БИТОЛА; 5. СТРЕЖЕВО ДООЕЛ; 6. МАРКОВСКИ КОМПАНИ БИТОЛА; 7. РУД КОП ДООЕЛ; 8. ПЕЛИСТЕР Битола; 9. ДИГЕР ДООЕЛ; 10. МЕТАЛНА ТАЈМИШТЕ; 11. СТЕНТОН ГРАДБА БИТОЛА: 12. ТРАНС МЕТ,15.03.2012,147500000
28,Министерство за транспорт и врски,"Изградба на систем за водоснабдување на населени места Ваташа, Глишиќ, Марена и Сопот со пречистителна станица за вода за пиење, општина Кавадарци, по принцип “клуч во раце",ДГТ „Жикол„ ДООЕЛ,09.07.2012,142018892
29,ЈП Македонски шуми п.о - Скопје,Нафта и нафтени деривати,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,25.12.2012,141600000
30,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1(еден) нафтен дериват,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,20.09.2012,141220295
31,Министерство за внатрешни работи на РМ,"Услуги за осигурување на воздухоплови, пилотски и патнички седишта",Акционерско друштво за осигурување ВИНЕР-Виена Иншуренс Груп Скопје,09.01.2012,139516843
32,Општина Тетово,„Довршување на изградба на ситемот за водоснабдување на Тетово со зафаќање на површински води од Студена река и река Пена“,"ДПТУ"" НБ-Компани"" Доо",02.07.2012,139378445
33,АД Електрани на Македонија - Скопје,ЈН 01-216/2012 Транспорт (превоз) на 200.000 тони јаглен од РЕК Битола -депонија во рудник Брод Гнеотино во рудник Брод Гнеотино до депонија на ТЕ Осломеј.,"Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",07.12.2012,130272000
34,АД Електрани на Македонија - Скопје,"Набавка и испорака на транспортни траки според спецификација, за РЕК Битола и РЕК Осломеј",FTT WOLBROM S.A,22.11.2012,128881737
35,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Довршување на изведба на сите фази на станбено деловен објект 3.2 (08.02) Комплекс Источна индустриска зона во Скопје.,"Друштво за производство, промет и услуги ГРАЦИЈА ДООЕЛ Тетово",01.03.2012,126009775
